DomainIdentityInPage,DomainIdentityInCopyright,DomainIdentityInCanonical,DomainIdentityInAlternate,ForeignHyperlinks,VoidHyperlinkRatio,ForeignFormHandler,IPInURL,NumericFQDN,NumericPath,DomainEncoding,PathEncodedCharacters,RedirectionalChar,OutPositionedDomain,NoDotsFQDN,NoDotsPath,NonStandardPort,ObfuscationCharFQDN,ObfuscationCharPath,NoOfSlash,NoOfCharFQDN,NoOfCharPath,ShortURL,SubdomainService,DomainNameValidity,DomainAge,FHDomainValidity,FHDomainAge,SSLCertificateType,SSLGeoCountryMatch,URLSearchEngineRanking,DomainSearchEngineRanking,FQDNSearchEngineRanking,FQDNBlacklistIPCounts,DomainBlacklistIPCounts,Class
6,Yes,Null,Null,Yes,0.03,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,3,21,10,No,No,Yes,6149,Yes,6149,Null,No,Yes,Yes,Yes,0,0,Legitimate
34,Yes,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,17,5,No,No,Yes,9303,Yes,9303,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
53,Null,Null,Null,Yes,0.11,Internal,No,0,1,No,0,No,No,3,0,Null,0,1,4,14,23,No,No,Yes,7809,Yes,7809,OV,No,Yes,Yes,Yes,0,0,Legitimate
11,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,24,0,No,No,Yes,2697,Yes,2697,Null,No,Yes,Yes,Yes,0,0,Legitimate
64,Null,Yes,Null,Yes,0.12,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,14,16,No,No,Yes,7464,Yes,7464,EV,No,Yes,Yes,Yes,0,0,Legitimate
17,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,15,9,No,No,Yes,7659,Yes,7659,EV,No,Yes,Yes,Yes,0,0,Legitimate
10,No,Null,Null,Yes,0,External,No,3,31,No,14,No,Yes,4,7,Null,0,5,4,25,206,No,No,Unknown,-1,Unknown,-1,Null,No,No,No,No,0,0,Legitimate
4,No,Null,Null,Yes,0,Internal,No,0,5,No,0,No,No,2,0,Null,1,0,8,26,46,No,No,Yes,7171,Yes,7171,OV,Yes,No,Yes,No,0,0,Legitimate
1115,Null,Null,Null,Yes,0.01,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,5,21,30,No,No,Yes,432,Yes,432,Null,No,Yes,Yes,Yes,0,0,Legitimate
7,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,17,6,No,No,Yes,4164,Yes,4164,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
37,No,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,1,4,21,17,No,No,Yes,4164,Yes,4164,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
38,No,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,1,4,21,17,No,No,Yes,4164,Yes,4164,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
66,Null,Null,Yes,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,14,5,No,No,Yes,6281,Yes,6281,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
69,Null,Null,Yes,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,14,6,No,No,Yes,6281,Yes,6281,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
28,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,3,13,6,No,No,Yes,3897,Yes,3897,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
0,No,Null,Null,Yes,0,Internal,No,0,7,No,0,No,No,2,0,Null,0,1,3,21,73,No,No,Yes,7770,Yes,7770,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
135,Null,Yes,Yes,Yes,0.04,Internal,No,0,5,No,0,No,No,2,0,Null,0,5,5,23,41,No,No,Yes,6669,Yes,6669,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
1,Null,Null,Null,Yes,0.2,Internal,No,0,4,No,0,No,No,2,0,Null,0,1,3,14,19,No,No,Yes,871,Yes,871,Null,No,Yes,Yes,Yes,0,0,Legitimate
391,Yes,Yes,No,Yes,0.12,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,5,11,15,No,No,Yes,7028,Yes,7028,OV,No,Yes,Yes,Yes,0,0,Legitimate
32,No,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,1,3,17,14,No,No,Yes,6216,Yes,6216,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
3,Null,Null,Null,Yes,0,Internal,No,0,1,No,1,No,No,2,0,Null,0,1,4,15,21,No,No,Yes,2397,Yes,2397,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
4,No,Null,Null,Yes,0.07,Internal,No,0,0,No,0,No,No,3,0,Null,0,0,5,19,18,No,No,Unknown,-1,Unknown,-1,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
3,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,15,7,No,No,Yes,2397,Yes,2397,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
124,Yes,Null,Yes,Yes,0,External,No,0,0,No,0,No,No,2,0,Null,0,0,3,18,0,No,No,Yes,7459,Yes,5035,Null,No,Yes,Yes,Yes,0,0,Legitimate
14,Yes,Null,Null,Yes,0.01,External,No,0,0,No,0,No,No,2,0,Null,0,0,3,19,0,No,No,Yes,4251,Unknown,-1,DV,No,Yes,Yes,Yes,0,0,Legitimate
105,Yes,Yes,Null,Yes,0.1,Internal,No,0,0,No,0,No,Yes,1,1,Null,0,0,4,19,24,No,No,Yes,140,Yes,140,Null,No,Yes,Yes,Yes,0,0,Legitimate
113,Yes,Yes,Null,Yes,0.11,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,2,19,0,No,No,Yes,517,Yes,517,DV,Unknown,No,Yes,Yes,0,0,Legitimate
4,Null,Null,Null,Yes,0,Internal,No,0,19,No,0,No,Yes,2,2,Null,0,8,8,20,136,No,No,Yes,7659,Yes,7659,DV,Unknown,No,Yes,No,0,0,Legitimate
4,No,Null,Null,Yes,0.17,Internal,No,0,0,No,0,No,No,1,0,Null,0,1,6,15,38,No,No,Yes,2782,Yes,2782,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
19,Yes,Null,Null,Yes,0.1,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,14,0,No,No,Yes,3728,Yes,3728,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
0,Null,Null,Null,Yes,0.2,Internal,No,0,0,No,0,No,No,2,0,Null,2,0,4,33,13,No,No,Yes,2972,Yes,2972,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
24,Yes,Null,Null,Yes,0.05,Internal,No,0,0,No,0,No,No,3,0,Null,0,0,4,19,10,No,No,Unknown,-1,Unknown,-1,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
2,Null,Null,Null,Yes,0,Internal,No,1,0,No,0,No,No,2,1,Null,0,0,6,32,39,No,No,Yes,5676,Yes,5676,OV,Yes,No,Yes,Yes,0,0,Legitimate
2,Null,Null,Null,Yes,0.03,Internal,No,1,0,No,0,No,No,2,1,Null,0,0,6,25,32,No,No,Yes,5676,Yes,5676,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
2,No,Null,Null,Yes,0.05,Internal,No,1,0,No,0,No,No,2,1,Null,0,0,6,35,42,No,No,Yes,5676,Yes,5676,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
10,Null,Null,No,Yes,0.01,Internal,No,1,0,No,0,No,No,2,1,Null,0,0,6,25,32,No,No,Yes,5676,Yes,5676,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
192,Yes,Null,Yes,Yes,0.03,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,17,5,No,No,Yes,4986,Yes,4986,DV,No,Yes,Yes,Yes,0,0,Legitimate
14,Yes,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,18,0,No,No,Yes,4915,Yes,4915,Null,No,Yes,Yes,Yes,0,0,Legitimate
1,No,Null,Null,Yes,0,External,No,0,2,No,0,No,No,2,1,Null,0,2,5,16,42,No,No,Unknown,-1,Unknown,-1,Null,No,Yes,Yes,Yes,0,0,Legitimate
14,Null,Null,Null,Yes,0.24,Internal,No,0,2,No,0,No,No,2,1,Null,1,4,4,26,44,No,No,Yes,8385,Yes,8385,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
5,No,Null,Null,Yes,0,Internal,No,1,3,No,0,No,No,3,1,Null,0,0,7,27,40,No,No,Yes,7148,Yes,7148,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
0,No,Null,Null,Yes,0.12,Internal,No,0,19,No,0,No,No,2,1,Null,0,1,4,20,55,No,No,Unknown,-1,Unknown,-1,DV,No,No,Yes,Yes,0,0,Legitimate
9,Null,Yes,Null,Yes,0.12,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,14,5,No,No,Yes,3374,Yes,3374,OV,No,Yes,Yes,Yes,0,0,Legitimate
25,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,4,8,15,No,No,Yes,9094,Yes,9094,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
1,No,Null,Null,Yes,0.05,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,18,13,No,No,Yes,3333,Yes,3333,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
5,Null,Null,Null,Yes,0.14,Internal,No,1,0,No,0,No,No,2,0,Null,0,1,4,24,13,No,No,Yes,6068,Yes,6068,DV,Unknown,No,Yes,Yes,0,0,Legitimate
3,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,1,4,34,13,No,No,Yes,6068,Yes,6068,Null,No,Yes,Yes,Yes,0,0,Legitimate
213,Yes,Yes,Null,Yes,0.05,External,No,0,0,No,0,No,No,2,0,Null,0,0,3,14,0,No,No,Yes,9264,Yes,2955,Null,No,Yes,Yes,Yes,0,0,Legitimate
52,No,Yes,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,18,6,No,No,Yes,8737,Yes,8737,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
1,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,4,27,20,No,No,Yes,4027,Yes,4027,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
5,No,Null,Null,Yes,0.11,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,3,18,9,No,No,Yes,8737,Yes,8737,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
22,Yes,Null,Null,Yes,0.12,Internal,No,0,13,No,6,No,No,2,2,Null,0,3,6,18,99,No,No,Yes,3039,Yes,3039,DV,Unknown,No,No,No,0,3,Legitimate
13,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,1,4,13,13,No,No,Yes,3196,Yes,3196,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
117,Yes,Null,Yes,Yes,0.05,Internal,No,0,0,No,0,No,No,1,1,Null,0,0,6,11,23,No,No,Yes,3795,Yes,3795,Null,No,Yes,Yes,Yes,0,0,Legitimate
3,Yes,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,3,36,9,No,No,Yes,5856,Yes,5856,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
35,No,Yes,Null,Yes,0.06,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,3,19,0,No,No,Yes,405,Yes,405,Null,No,Yes,Yes,Yes,0,0,Legitimate
6,Null,Null,Null,Yes,0.05,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,4,22,23,No,No,Yes,3387,Yes,3387,Null,No,Yes,Yes,Yes,0,0,Legitimate
119,Null,Null,Null,Yes,0.08,Internal,No,0,3,No,0,No,Yes,2,2,Null,0,1,4,11,51,No,No,Yes,10087,Yes,10087,EV,No,No,Yes,Yes,0,0,Legitimate
84,Yes,Yes,Null,Yes,0.02,Internal,No,0,0,No,0,No,No,3,0,Null,0,0,4,22,2,No,No,Unknown,-1,Unknown,-1,DV,No,Yes,Yes,Yes,0,0,Legitimate
48,Yes,Yes,Null,Yes,0.01,Internal,No,0,0,No,0,No,No,3,1,Null,0,0,5,22,21,No,No,Unknown,-1,Unknown,-1,DV,No,Yes,Yes,Yes,0,0,Legitimate
1,No,Null,Null,Yes,0,External,No,0,117,No,1,No,No,2,1,Null,0,24,5,16,764,No,No,Unknown,-1,Unknown,-1,OV,No,No,Yes,Yes,0,0,Legitimate
16,Null,Null,Null,Yes,0.19,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,7,26,26,No,No,Yes,5655,Yes,5655,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
34,Null,Yes,Null,Yes,0,Internal,No,3,0,No,0,No,No,2,1,Null,0,1,3,22,17,No,No,Yes,2565,Yes,2565,DV,Unknown,Yes,Yes,Yes,1,1,Legitimate
2,No,Yes,Null,Yes,0.21,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,26,0,No,No,Yes,7442,Yes,7442,Null,No,Yes,Yes,Yes,0,0,Legitimate
18,Yes,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,15,0,No,No,Yes,7357,Yes,7357,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
0,Null,Null,Null,Yes,0,Internal,No,0,5,No,0,No,Yes,2,3,Null,0,1,4,18,72,No,No,Yes,6636,Yes,6636,DV,No,No,No,No,0,0,Legitimate
72,No,Yes,Null,Yes,0.08,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,15,0,No,No,Yes,7897,Yes,7897,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
76,No,Null,Null,Yes,0.04,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,4,20,21,No,No,Yes,7897,Yes,7897,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
252,No,Null,Yes,Yes,0,Internal,No,0,1,No,0,No,No,3,0,Null,0,3,4,25,16,No,No,Yes,7757,Yes,7757,Null,No,No,Yes,No,0,0,Legitimate
4,Yes,Null,Null,Yes,0.17,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,3,18,0,No,Yes,Unknown,-1,Unknown,-1,DV,No,Yes,Yes,Yes,0,0,Legitimate
5,Yes,Null,Null,Yes,0.17,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,3,18,11,No,Yes,Yes,1960,Yes,1960,DV,No,Yes,Yes,Yes,0,0,Legitimate
130,Yes,Yes,Yes,Yes,0.03,Internal,No,0,15,No,0,No,No,2,4,Null,0,7,6,17,184,No,No,Yes,8342,Yes,8342,OV,Yes,No,No,No,0,0,Legitimate
2,No,Null,Null,Yes,0,Internal,No,1,163,No,4,No,No,4,2,Null,0,4,5,30,788,No,No,Yes,3990,Yes,3990,OV,Yes,No,No,No,0,0,Legitimate
57,Null,Null,Null,Yes,0.1,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,5,11,12,No,No,Yes,12064,Yes,12064,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
7,Null,Null,Null,Yes,0,Internal,No,0,1,No,0,No,No,3,1,Null,0,3,3,25,58,No,No,Yes,7473,Yes,7473,OV,Yes,No,Yes,Yes,0,0,Legitimate
9,Yes,Null,Null,Yes,0.09,Internal,No,1,0,No,0,No,No,1,0,Null,0,0,4,18,14,No,No,Yes,2588,Yes,2588,Null,No,Yes,Yes,Yes,0,0,Legitimate
19,No,Null,Null,Yes,0,Internal,No,0,1,No,1,No,No,2,0,Null,0,1,4,23,27,No,No,Yes,1626,Yes,1626,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
34,No,Null,Null,Yes,0.03,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,23,5,No,No,Yes,5980,Yes,5980,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
0,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,3,1,Null,0,0,4,14,19,No,No,Yes,7049,Yes,7049,Null,No,Yes,Yes,Yes,0,0,Legitimate
10,Yes,Null,Null,Yes,0,Internal,No,0,3,No,0,No,No,2,1,Null,0,4,3,19,48,No,No,Yes,1303,Yes,1303,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
18,Null,Yes,Null,Yes,0,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,4,8,6,No,No,Yes,8910,Yes,8910,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
2,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,1,Null,1,0,4,23,18,No,No,Yes,4434,Yes,4434,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
21,Null,Yes,Null,Yes,0,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,4,8,7,No,No,Yes,8910,Yes,8910,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
1,No,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,1,3,26,7,No,No,Yes,7455,Yes,7455,Null,No,Yes,Yes,Yes,1,0,Legitimate
61,Yes,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,3,0,Null,0,0,3,27,5,No,No,Yes,7652,Yes,7652,OV,No,Yes,Yes,Yes,0,0,Legitimate
9,No,Null,Null,Yes,0.07,Internal,No,0,0,No,0,No,No,4,0,Null,0,0,4,37,10,No,No,Unknown,-1,Unknown,-1,Null,No,Yes,Yes,Yes,0,0,Legitimate
6,No,Null,Null,Yes,0.36,Internal,No,0,67,No,15,No,No,2,3,Null,0,4,5,26,220,No,No,Yes,7084,Yes,7084,EV,No,No,No,No,0,0,Legitimate
23,Null,Null,Null,Yes,0.12,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,5,15,12,No,No,Yes,4989,Yes,4989,Null,No,Yes,Yes,Yes,0,5,Legitimate
0,No,Null,Null,Yes,0.08,Internal,No,0,1,No,0,No,No,3,0,Null,0,1,5,29,45,No,No,Unknown,-1,Unknown,-1,Null,No,No,No,No,0,0,Legitimate
2,No,Null,Null,Yes,0.05,Internal,No,0,0,No,0,No,No,3,0,Null,0,0,3,23,5,No,No,Unknown,-1,Unknown,-1,DV,No,Yes,Yes,Yes,0,0,Legitimate
0,No,Null,Null,Yes,0.09,Internal,No,0,0,No,0,No,No,3,0,Null,0,0,4,14,14,No,No,Unknown,-1,Unknown,-1,OV,No,Yes,Yes,Yes,0,0,Legitimate
0,Null,Null,Null,Yes,0,Internal,No,0,3,No,1,No,No,3,1,Null,0,2,3,19,31,No,No,Unknown,-1,Unknown,-1,DV,Yes,Yes,Yes,Yes,0,0,Legitimate
5,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,3,13,5,No,No,Yes,1983,Yes,1983,EV,No,Yes,Yes,Yes,0,0,Legitimate
22,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,20,5,No,No,Yes,1983,Yes,1983,DV,No,Yes,Yes,Yes,0,0,Legitimate
17,Null,Null,Null,Yes,0,Internal,No,0,1,No,1,No,No,2,1,Null,0,1,3,19,25,No,No,Yes,7183,Yes,7183,EV,Yes,Yes,Yes,Yes,0,0,Legitimate
2,Null,Null,Null,Yes,0.43,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,21,0,No,No,Yes,6384,Yes,6384,DV,Unknown,No,Yes,Yes,0,0,Legitimate
229,Yes,Null,Yes,Yes,0.19,Internal,No,0,1,No,0,No,No,2,0,Null,0,3,8,16,68,No,No,Yes,8343,Yes,8343,OV,Yes,No,Yes,Yes,0,0,Legitimate
27,Yes,Null,Null,Yes,0.12,Internal,No,0,0,No,0,No,No,3,0,Null,0,0,4,15,9,No,No,Yes,9023,Yes,9023,EV,Yes,Yes,Yes,Yes,0,0,Legitimate
67,No,Null,Null,Yes,0.16,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,29,0,No,No,Yes,6236,Yes,6236,OV,No,Yes,Yes,Yes,0,0,Legitimate
180,Null,Null,Null,Yes,0.04,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,13,0,No,No,Yes,6842,Yes,6842,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
146,Yes,Yes,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,15,13,No,No,Yes,4902,Yes,4902,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
141,Yes,Yes,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,15,14,No,No,Yes,4902,Yes,4902,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
12,Null,Null,Null,Yes,0.22,Internal,No,0,2,No,0,No,No,2,1,Null,2,4,4,28,44,No,No,Yes,8386,Yes,8386,OV,Yes,No,Yes,Yes,0,0,Legitimate
4,No,Null,Null,Yes,0.03,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,3,19,10,No,No,Unknown,-1,Unknown,-1,OV,No,Yes,Yes,Yes,0,0,Legitimate
21,Null,Null,Null,Yes,0.08,Internal,No,0,1,No,0,No,No,2,0,Null,0,5,3,31,43,No,No,Yes,10483,Yes,10483,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
0,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,3,15,9,No,No,Unknown,-1,Unknown,-1,OV,No,No,Yes,Yes,0,0,Legitimate
2,No,Null,Null,Yes,0,Internal,No,0,99,No,15,No,No,2,2,Null,3,9,4,35,357,No,No,Yes,2928,Yes,2928,DV,Unknown,No,No,No,0,0,Legitimate
6,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,1,4,27,14,No,No,Yes,915,Yes,915,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
12,No,Yes,Null,Yes,0.04,Internal,No,0,0,No,0,No,No,1,0,Null,0,1,3,18,7,No,No,Yes,2817,Yes,2817,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
1,No,Null,Null,Yes,0,External,No,0,2,No,0,No,Yes,2,3,Null,0,2,5,12,50,No,No,Unknown,-1,Unknown,-1,Null,No,Yes,Yes,Yes,0,0,Legitimate
16,Yes,Null,Null,Yes,0.1,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,14,5,No,No,Yes,7941,Yes,7941,EV,Yes,Yes,Yes,Yes,0,0,Legitimate
96,Yes,Yes,Yes,Yes,0.03,Internal,No,0,0,No,0,No,No,1,0,Null,0,2,4,18,22,No,No,Yes,703,Yes,703,Null,No,Yes,Yes,Yes,0,0,Legitimate
19,Null,Null,Null,Yes,0.19,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,3,23,9,No,No,Yes,4805,Yes,4805,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
7,No,Null,Null,Yes,0.31,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,5,23,34,No,No,Yes,4805,Yes,4805,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
7,No,Null,Null,Yes,0,Internal,No,0,154,No,26,No,Yes,2,6,Null,0,45,5,17,624,No,No,Yes,4805,Yes,4805,OV,Yes,No,No,No,0,0,Legitimate
15,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,1,4,15,13,No,No,Yes,2839,Yes,2839,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
4,No,Null,Null,Yes,0.25,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,30,0,No,No,Yes,6029,Yes,6029,OV,No,Yes,Yes,Yes,0,0,Legitimate
35,Yes,Null,Null,Yes,0,Internal,No,0,4,No,0,No,No,2,1,Null,0,2,4,16,57,No,No,Yes,7535,Yes,7535,EV,Yes,Yes,Yes,Yes,0,0,Legitimate
90,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,19,12,No,No,Yes,6801,Yes,6801,OV,No,Yes,Yes,Yes,0,0,Legitimate
67,Null,Null,Null,Yes,0.14,Internal,No,0,0,No,0,No,No,1,1,Null,0,0,6,12,24,No,No,Yes,2020,Yes,2020,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
15,No,Yes,Null,Yes,0.03,Internal,No,3,0,No,0,No,No,1,1,Null,0,0,4,11,17,No,No,Yes,1709,Yes,1709,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
183,Null,Null,Null,Yes,0,Internal,No,0,20,No,0,No,Yes,2,6,Null,0,10,3,19,233,No,No,Yes,8173,Yes,8173,DV,Unknown,No,No,No,0,8,Legitimate
126,No,Yes,Yes,Yes,0.03,External,No,0,0,No,0,No,No,2,0,Null,0,0,3,18,0,No,No,Yes,3756,Yes,5035,Null,No,Yes,Yes,Yes,0,0,Legitimate
183,No,Yes,Yes,Yes,0.28,External,No,0,0,No,0,No,No,2,0,Null,0,3,4,18,29,No,No,Yes,3756,Yes,3756,Null,No,Yes,Yes,Yes,0,0,Legitimate
412,No,Yes,Null,Yes,0.27,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,3,19,0,No,No,Yes,1791,Yes,1791,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
7,No,Null,Yes,Yes,0.07,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,20,8,No,No,Yes,2981,Yes,2981,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
7,Null,Null,Null,Yes,0.05,Internal,No,0,1,No,0,No,No,2,0,Null,0,1,3,23,13,No,No,Yes,2846,Yes,2846,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
5,No,Null,Yes,Yes,0.08,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,4,20,23,No,No,Yes,2981,Yes,2981,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
3,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,5,32,14,No,No,Yes,4738,Yes,4738,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
193,Yes,Yes,Yes,Yes,0.03,External,No,0,2,No,0,No,No,1,0,Null,0,6,5,11,44,No,No,Yes,3127,Yes,3127,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
196,Yes,Yes,Yes,Yes,0.02,External,No,0,2,No,0,No,No,1,0,Null,0,7,5,11,46,No,No,Yes,3127,Yes,3127,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
187,Yes,Yes,Yes,Yes,0.02,External,No,0,2,No,0,No,No,1,0,Null,0,6,5,11,48,No,No,Yes,3127,Yes,7505,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
199,Yes,Yes,Yes,Yes,0.04,External,No,0,6,No,0,No,No,1,0,Null,0,10,5,11,70,No,No,Unknown,-1,Yes,7505,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
11,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,5,27,15,No,No,Yes,3726,Yes,3726,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
11,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,5,23,15,No,No,Yes,3726,Yes,3726,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
57,No,Yes,Yes,Yes,0,Internal,No,0,1,No,1,No,No,2,0,Null,0,1,3,24,19,No,No,Yes,8604,Yes,8604,DV,Unknown,No,Yes,Yes,0,0,Legitimate
5,Null,Null,Null,Yes,0,Internal,No,0,15,No,7,No,No,2,3,Null,0,4,4,12,144,No,No,Yes,6729,Yes,6729,DV,Yes,No,Yes,Yes,0,0,Legitimate
